Institution ID,Inscription ID,Notes
1001,267,
1002,267,
1004,271,
1001,274,
1001,275,
1002,275,
1002,276,
1002,280,
1001,282,
1002,282,
1001,283,
1002,285,
1002,286,
1002,288,
1002,289,
1002,292,
1000,295,
1001,295,
1002,295,
1002,298,
1001,300,
1002,300,
1002,302,
1001,305,
1002,305,
1002,308,
1000,312,
1000,323,
1001,323,
1002,323,
1000,324,
1001,324,
1002,324,
1015,324,
1002,325,
1002,326,
1000,327,
1002,327,
1001,329,
1002,330,
1000,334,
1001,334,
1002,334,
1000,335,
1001,335,
1002,335,
1000,340,
1001,340,
1002,340,
1000,345,
1001,345,
1002,345,
1000,348,
1001,348,
1002,348,
1000,349,
1001,349,
1002,349,
1000,351,
1001,351,
1002,351,
1000,352,
1001,352,
1002,352,
1000,353,
1001,353,
1002,353,
1000,362,
1001,362,
1002,362,
1000,372,
1000,378,
1001,378,
1002,381,
1000,383,
1001,383,
1002,383,
1000,389,
1001,389,
1002,389,
1001,394,
1002,396,
1000,402,
1001,402,
1002,402,
1000,410,
1002,410,
1000,414,
1001,414,
1002,414,
1002,421,
1000,427,
1001,427,
1015,435,
1017,435,
1009,438,
1000,439,
1000,440,
1001,440,
1002,440,
1000,441,
1001,441,
1012,448,
1000,455,
1001,455,
1002,455,
1024,457,
1010,457,
1005,470,
1000,483,
1001,483,
1002,483,
1000,487,
1000,488,
1000,490,
1015,490,
1012,491,
1000,492,
1001,492,
1002,492,
1000,493,
1000,503,
1001,503,
1002,503,
1003,514,
1002,517,
1000,519,
1001,519,
1002,519,
1000,522,
1002,522,
1000,528,
1000,529,
1012,532,
1000,539,
1001,539,
1002,539,
1016,551,
1000,558,
1001,558,
1002,558,
1000,570,
1001,570,
1002,570,
1000,571,
1001,571,
1002,571,
1000,572,
1002,572,
1000,573,
1001,573,
1002,573,
1000,574,
1002,575,
1000,576,
1001,577,
1001,578,
1000,579,
1000,587,
1000,588,
1001,588,
1002,588,
1020,588,
1006,589,
1002,601,
1000,604,
1001,604,
1002,604,
1000,620,
1001,620,
1002,620,
1000,623,
1013,624,
1000,626,
1001,626,
1002,626,
1000,630,
1001,630,
1002,630,
1000,632,
1001,632,
1002,632,
1000,633,
1000,634,
1000,635,
1001,636,
1000,638,
1001,638,
1002,638,
1000,645,
1001,645,
1002,645,
1000,654,
1001,654,
1002,654,
1002,660,
1000,662,
1000,667,
1002,677,
1002,678,
1002,679,
1002,680,
1002,681,
1000,682,
1002,682,
1000,691,
1001,691,
1002,691,
1000,692,
1001,692,
1002,692,
1000,693,
1001,693,
1002,693,
1000,694,
1001,694,
1002,694,
1000,695,
1001,695,
1002,695,
1000,696,
1001,696,
1002,696,
1002,703,
1002,704,
